left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,probe_resp.keys,probe_resp.rt,response_ori,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,take_break.started,take_break.stopped,participant,date,expName,psychopyVersion,frameRate,
28,131,56,173,"[25,45] degrees",left,-0.4,62,28,clockwise,28,42,,,,,,,,,,,,,0,5,5,25,,,,,,,,,,,,,,,,,197.35730302205775,None,197.35730302205775,None,space,0.3087788730626926,-94.7801629646377,197.6904276650166,None,,,,,,,192.9559476870345,None,192.9559476870345,193.7062619701028,192.9559476870345,193.7062619701028,194.35620597808156,None,194.35620597808156,195.10647178906947,194.35620597808156,195.10647178906947,195.7565640200628,195.9563812770648,195.7565640200628,None,198.1905602878076,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
5,133,30,165,"[25,45] degrees",right,0.4,121,133,clockwise,32,25,,,,,,,,,,,,,0,6,6,27,,,,,,,,,,,,,,,,,202.5919706650311,None,202.5919706650311,None,space,1.3959878699388355,-94.7801629646377,204.00875288806856,None,,,,,,,198.1908456190722,None,198.1908456190722,198.94090836204123,198.1908456190722,198.94090836204123,199.59081839909777,None,199.59081839909777,200.34080587909557,199.59081839909777,200.34080587909557,200.99140526901465,201.19001107709482,200.99140526901465,None,204.5091377558536,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
3,107,-19,84,"[25,45] degrees",left,-0.4,-42,3,anticlockwise,-22,-23,,,,,,,,,,,,,0,7,7,97,,,,,,,,,,,,,,,,,208.910106287105,None,208.910106287105,None,space,1.073910861974582,-94.7801629646377,210.0103627650533,None,,,,,,,204.5089012180688,None,204.5089012180688,205.2591482520802,204.5089012180688,205.2591482520802,205.9083215680439,None,205.9083215680439,206.64738947805017,205.9083215680439,206.64738947805017,207.30000265000854,207.51009348104708,207.30000265000854,None,210.51040938788793,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
173,117,141,83,"[25,45] degrees",neutral,-0.4,168,173,anticlockwise,-32,-34,,,,,,,,,,,,,0,8,8,64,,,,,,,,,,,,,,,,,214.91211971407756,None,214.91211971407756,None,space,3.509235062985681,-94.7801629646377,218.4462986040162,None,,,,,,,210.50968213006854,None,210.50968213006854,211.25962984911166,210.50968213006854,211.25962984911166,211.89980850811116,None,211.89980850811116,212.66138175304513,211.89980850811116,212.66138175304513,213.31157048000023,213.51185894408263,213.31157048000023,None,218.9463058757945,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
32,2,8,-28,"[25,45] degrees",neutral,-0.4,7,32,anticlockwise,-24,-30,,,,,,,,,,,,,0,9,9,108,,,,,,,,,,,,,,,,,223.34765247208998,None,223.34765247208998,None,space,3.5337045090273023,-94.7801629646377,226.8985761880176,None,,,,,,,218.94655340106692,None,218.94655340106692,219.6963982700836,218.94655340106692,219.6963982700836,220.34681593708228,None,220.34681593708228,221.09692642709706,220.34681593708228,221.09692642709706,221.7460420000134,221.9342989641009,221.7460420000134,None,227.39916330879788,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
50,17,12,-20,"[25,45] degrees",neutral,0.4,31,17,anticlockwise,-37,-38,,,,,,,,,,,,,0,10,10,62,,,,,,,,,,,,,,,,,231.79880561004393,None,231.79880561004393,None,space,2.496428651968017,-94.7801629646377,234.31727694510482,None,,,,,,,227.3990478980122,None,227.3990478980122,228.14887114800513,227.3990478980122,228.14887114800513,228.79895173211116,None,228.79895173211116,229.5485380809987,228.79895173211116,229.5485380809987,230.19930723006837,230.3875934930984,230.19930723006837,None,234.8176134048379,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
63,126,90,157,"[25,45] degrees",right,0.4,133,126,clockwise,31,27,,,,,,,,,,,,,0,11,11,47,,,,,,,,,,,,,,,,,239.21900663501583,None,239.21900663501583,None,space,0.7905903509818017,-94.7801629646377,240.03551778104156,None,,,,,,,234.81708815402817,None,234.81708815402817,235.5680303000845,234.81708815402817,235.5680303000845,236.21798059903085,None,236.21798059903085,236.96795908000786,236.21798059903085,236.96795908000786,237.61841523007024,237.81856184010394,237.61841523007024,None,240.53587804386626,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
70,157,105,177,"[25,45] degrees",neutral,0.4,134,157,clockwise,20,35,,,,,,,,,,,,,0,12,12,42,,,,,,,,,,,,,,,,,244.93665440310724,None,244.93665440310724,None,space,2.3514359130058438,-94.7801629646377,247.3085683180252,None,,,,,,,240.5359066230012,None,240.5359066230012,241.28605773404706,240.5359066230012,241.28605773404706,241.9349552380154,None,241.9349552380154,242.68649804906454,241.9349552380154,242.68649804906454,243.33686220506206,243.5368504730286,243.33686220506206,None,247.8213691328536,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
166,104,126,63,"[25,45] degrees",left,-0.4,194,166,anticlockwise,-40,-41,,,,,,,,,,,,,0,13,13,77,,,,,,,,,,,,,,,,,252.22102690511383,None,252.22102690511383,None,space,1.5244932289933786,-94.7801629646377,253.77277920604683,None,,,,,,,247.82136453408748,None,247.82136453408748,248.5716772150481,247.82136453408748,248.5716772150481,249.2215798140969,None,249.2215798140969,249.97212994401343,249.2215798140969,249.97212994401343,250.61294653406367,250.80983974109404,250.61294653406367,None,254.2729060988757,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
48,139,8,104,"[25,45] degrees",right,0.4,146,139,anticlockwise,-35,-40,,,,,,,,,,,,,0,14,14,99,,,,,,,,,,,,,,,,,258.67437368107494,None,258.67437368107494,None,space,2.2264090690296143,-94.7801629646377,260.9235232800711,None,,,,,,,254.2729207871016,None,254.2729207871016,255.02320457808673,254.2729207871016,255.02320457808673,255.67338049504906,None,255.67338049504906,256.4224279090995,255.67338049504906,256.4224279090995,257.07222370407544,257.26140791911166,257.07222370407544,None,261.4249422308174,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
