left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,response_ori,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,take_break.started,take_break.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
63,158,100,198,"[25,45] degrees",neutral,-0.4,59,63,clockwise,37,40,,,,,,,,,,,,,0,39,39,8,,,,,,,,,,,,,,,,,565.8169322150061,None,565.8169322150061,None,-24.884483526764285,[],[],[],[],[],[],565.8169322150061,None,570.818307099049,None,,,,,,,561.415698530036,None,561.415698530036,562.1664485280635,561.415698530036,562.1664485280635,562.8164158760337,None,562.8164158760337,563.5660521850223,562.8164158760337,563.5660521850223,564.2166220530635,564.4166917450493,564.2166220530635,None,571.3183002070291,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
39,124,64,161,"[25,45] degrees",neutral,0.4,128,124,clockwise,37,25,,,,,,,,,,,,,0,40,40,146,,,,,,,,,,,,,,,,,605.7197095419979,None,605.7197095419979,None,-24.884483526764285,[],[],[],[],[],[],605.7197095419979,None,610.7300161040621,None,,,,,,,601.326893710997,None,601.326893710997,602.0777463540435,601.326893710997,602.0777463540435,602.7276457560947,None,602.7276457560947,603.477598772035,602.7276457560947,603.477598772035,604.128039641073,604.328425554093,604.128039641073,None,611.2300136000965,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
103,23,83,-18,"[25,45] degrees",neutral,0.4,0,23,anticlockwise,-41,-20,,,,,,,,,,,,,0,41,41,306,,,,,,,,,,,,,,,,,615.630921698059,None,615.630921698059,None,-24.884483526764285,[],[],[],[],[],[],615.630921698059,None,620.6327843440231,None,,,,,,,611.2288668010151,None,611.2288668010151,611.9806379020447,611.2288668010151,611.9806379020447,612.6307117420947,None,612.6307117420947,613.3806149510201,612.6307117420947,613.3806149510201,614.0306821441045,614.2308077610796,614.0306821441045,None,621.1368689041235,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
70,151,35,123,"[25,45] degrees",left,-0.4,47,70,anticlockwise,-35,-28,,,,,,,,,,,,,0,42,42,277,,,,,,,,,,,,,,,,,625.5251849041088,None,625.5251849041088,None,-24.884483526764285,[],[],[],[],[],[],625.5251849041088,None,630.5250172140077,None,,,,,,,621.131110768998,None,621.131110768998,621.8833461080212,621.131110768998,621.8833461080212,622.5334343960276,None,622.5334343960276,623.2834257540526,622.5334343960276,623.2834257540526,623.9333925640676,624.1339299459942,623.9333925640676,None,631.0353128591203,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
93,15,126,45,"[25,45] degrees",left,-0.4,50,93,clockwise,33,30,,,,,,,,,,,,,0,43,43,117,,,,,,,,,,,,,,,,,635.436617332045,None,635.436617332045,None,-24.884483526764285,[],[],[],[],[],[],635.436617332045,None,640.4443353760289,None,,,,,,,631.0341627160087,None,631.0341627160087,631.7734047300182,631.0341627160087,631.7734047300182,632.4361786270747,None,632.4361786270747,633.186530827079,632.4361786270747,633.186530827079,633.8382045699982,634.0533444971079,633.8382045699982,None,640.9551399691379,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
5,108,-17,82,"[25,45] degrees",left,-0.4,-26,5,anticlockwise,-22,-26,,,,,,,,,,,,,0,44,44,173,,,,,,,,,,,,,,,,,645.3564086460974,None,645.3564086460974,None,-24.884483526764285,[],[],[],[],[],[],645.3564086460974,None,650.3637086340459,None,,,,,,,640.9539614400128,None,640.9539614400128,641.7051603980362,640.9539614400128,641.7051603980362,642.3558925830293,None,642.3558925830293,643.1054616291076,642.3558925830293,643.1054616291076,643.756293968996,643.9558633820852,643.756293968996,None,650.8746373101719,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
80,45,43,8,"[25,45] degrees",left,-0.4,49,80,anticlockwise,-37,-37,,,,,,,,,,,,,0,45,45,289,,,,,,,,,,,,,,,,,655.2760564950295,None,655.2760564950295,None,-24.884483526764285,[],[],[],[],[],[],655.2760564950295,None,660.277331352001,None,,,,,,,650.874762780033,None,650.874762780033,651.6246028060559,650.874762780033,651.6246028060559,652.2752019240288,None,652.2752019240288,653.02526231308,652.2752019240288,653.02526231308,653.6753410600359,653.8753688510042,653.6753410600359,None,660.7817282941076,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
93,119,60,87,"[25,45] degrees",neutral,-0.4,116,93,anticlockwise,-33,-32,,,,,,,,,,,,,0,46,46,216,,,,,,,,,,,,,,,,,665.1784977730131,None,665.1784977730131,None,-24.884483526764285,[],[],[],[],[],[],665.1784977730131,None,670.1798698561033,None,,,,,,,660.7757853580406,None,660.7757853580406,661.5153129040264,660.7757853580406,661.5153129040264,662.1777998090256,None,662.1777998090256,662.9283642770024,662.1777998090256,662.9283642770024,663.5779801770113,663.7781657840824,663.5779801770113,None,670.6790160101489,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
36,158,62,179,"[25,45] degrees",neutral,0.4,177,158,clockwise,21,26,,,,,,,,,,,,,0,47,47,86,,,,,,,,,,,,,,,,,675.0814507730538,None,675.0814507730538,None,-24.884483526764285,[],[],[],[],[],[],675.0814507730538,None,680.0826609020587,None,,,,,,,670.672337422031,None,670.672337422031,671.4178620380117,670.672337422031,671.4178620380117,672.0809147300897,None,672.0809147300897,672.8304454860045,672.0809147300897,672.8304454860045,673.4808985540876,673.6809074881021,673.4808985540876,None,680.5872157281381,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
101,173,144,211,"[25,45] degrees",neutral,-0.4,88,101,clockwise,43,38,,,,,,,,,,,,,0,48,48,60,,,,,,,,,,,,,,,,,684.9839900950901,None,684.9839900950901,None,-24.884483526764285,[],[],[],[],[],[],684.9839900950901,None,689.9853418470593,None,,,,,,,680.5814200610621,None,680.5814200610621,681.31996019301,680.5814200610621,681.31996019301,681.983592288103,None,681.983592288103,682.7333307310473,681.983592288103,682.7333307310473,683.3840593351051,683.5837607620051,683.3840593351051,None,690.4858315651188,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
125,67,156,90,"[25,45] degrees",right,0.4,44,67,clockwise,23,31,,,,,,,,,,,,,0,49,49,55,,,,,,,,,,,,,,,,,694.8870083570946,None,694.8870083570946,None,-24.884483526764285,[],[],[],[],[],[],694.8870083570946,None,699.8883057420608,None,,,,,,,690.4857170920586,None,690.4857170920586,691.2359632620355,690.4857170920586,691.2359632620355,691.8862548420439,None,691.8862548420439,692.6364696579985,691.8862548420439,692.6364696579985,693.2864239130868,693.4865268770372,693.2864239130868,None,700.3883818811853,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
35,85,77,126,"[25,45] degrees",neutral,-0.4,37,35,clockwise,42,41,,,,,,,,,,,,,0,50,50,12,,,,,,,,,,,,,,,,,704.7897395450855,None,704.7897395450855,None,-24.884483526764285,[],[],[],[],[],[],704.7897395450855,None,709.7911389260553,None,,,,,,,700.3884441270493,None,700.3884441270493,701.1382510750555,700.3884441270493,701.1382510750555,701.7884480820503,None,701.7884480820503,702.5393487400142,701.7884480820503,702.5393487400142,703.1893201920902,703.3894569730619,703.1893201920902,None,710.2911608971306,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
30,86,56,116,"[25,45] degrees",right,0.4,44,86,clockwise,30,26,,,,,,,,,,,,,0,51,51,91,,,,,,,,,,,,,,,,,714.6925330080558,None,714.6925330080558,None,-24.884483526764285,[],[],[],[],[],[],714.6925330080558,None,719.6938939590473,None,,,,,,,710.291245311033,None,710.291245311033,711.0412843429949,710.291245311033,711.0412843429949,711.6913272090023,None,711.6913272090023,712.4420493050711,711.6913272090023,712.4420493050711,713.0916062060278,713.2921497999923,713.0916062060278,None,720.1939627261715,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
50,134,24,99,"[25,45] degrees",neutral,-0.4,83,50,anticlockwise,-26,-35,,,,,,,,,,,,,0,52,52,212,,,,,,,,,,,,,,,,,724.5953190240543,None,724.5953190240543,None,-24.884483526764285,[],[],[],[],[],[],724.5953190240543,None,729.5965181320207,None,,,,,,,720.1938261500327,None,720.1938261500327,720.9438917310908,720.1938261500327,720.9438917310908,721.5940804870334,None,721.5940804870334,722.3447794590611,721.5940804870334,722.3447794590611,722.99481487507,723.1950153850485,722.99481487507,None,730.096703193162,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
72,117,107,155,"[25,45] degrees",neutral,0.4,101,117,clockwise,38,35,,,,,,,,,,,,,0,53,53,22,,,,,,,,,,,,,,,,,734.4982167599956,None,734.4982167599956,None,-24.884483526764285,[],[],[],[],[],[],734.4982167599956,None,739.4993764390238,None,,,,,,,730.0967264421051,None,730.0967264421051,730.8464913830394,730.0967264421051,730.8464913830394,731.4967955620959,None,731.4967955620959,732.2477190491045,731.4967955620959,732.2477190491045,732.8977200250374,733.0978200610261,732.8977200250374,None,739.999366635119,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
96,145,119,190,"[25,45] degrees",neutral,-0.4,59,96,clockwise,23,45,,,,,,,,,,,,,0,54,54,20,,,,,,,,,,,,,,,,,744.4007594160503,None,744.4007594160503,None,-24.884483526764285,[],[],[],[],[],[],744.4007594160503,None,749.4022095720284,None,,,,,,,739.9993589840597,None,739.9993589840597,740.7494809090858,739.9993589840597,740.7494809090858,741.399584923056,None,741.399584923056,742.1504876770778,741.399584923056,742.1504876770778,742.8005707580596,743.0007638500538,742.8005707580596,None,749.9024282771977,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
63,147,83,172,"[25,45] degrees",neutral,-0.4,107,63,clockwise,20,25,,,,,,,,,,,,,0,55,55,144,,,,,,,,,,,,,,,,,754.3036825540476,None,754.3036825540476,None,-24.884483526764285,[],[],[],[],[],[],754.3036825540476,None,759.3046015520813,None,,,,,,,749.9023428480141,None,749.9023428480141,750.6525706490502,749.9023428480141,750.6525706490502,751.3025584430434,None,751.3025584430434,752.0532883120468,751.3025584430434,752.0532883120468,752.7034258040367,752.9032237030333,752.7034258040367,None,759.8047366241342,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
